Rank	Name	RegType	Chrom	Start	End	Strand	ScorePerCodon	NumCodons	Bls	AntiScorePerCodon	ScoreDiff	Parent	SvmScore	SvmAntisenseScore
783	chr17:50259041-50259100-	NoOverlap	chr17	50259041	50259100	-	3.84768	20	0.9608	-2.173305	6.020985	NA	0.177446215233	0.70302741025
784	chr17:28759113-28759190+	NoOverlap	chr17	28759113	28759190	+	0.689930769231	26	0.9965	-2.59568461538	3.28561538462	NA	0.177310100091	0.595593231318
785	chr17:82814976-82815017+	NoOverlap	chr17	82814976	82815017	+	14.5678571429	14	0.7289	12.0555714286	2.51228571429	NA	0.17678968715	0.379393107029
786	chr17:13531859-13531915+	NoOverlap	chr17	13531859	13531915	+	3.22333157895	19	0.9961	-1.43461578947	4.65794736842	NA	0.176660934026	0.619169839473
787	chr17:18123423-18123452-	NoOverlap	chr17	18123423	18123452	-	8.62413	10	0.9227	-10.92001	19.54414	NA	0.176523047694	1.05762200214
788	chr17:12665907-12665954+	NoOverlap	chr17	12665907	12665954	+	7.7226125	16	0.8844	-2.37693125	10.09954375	NA	0.17624671939	0.874893740796
789	chr17:48555402-48555530+	Extension	chr17	48555402	48555530	+	-0.70213255814	43	0.9105	-0.846986046512	0.144853488372	chr17:48555402-48555560+	0.176180217653	0.525154566067
790	chr17:38453969-38454091-	NoOverlap	chr17	38453969	38454091	-	6.85979756098	41	0.6221	8.01731463415	-1.15751707317	NA	0.176153423034	0.368044137207
791	chr17:56593546-56593779-	NoOverlap	chr17	56593546	56593779	-	0.619528205128	78	0.6505	-0.24628974359	0.865817948718	NA	0.176021132928	0.702763857247
792	chr17:46732843-46732884-	NoOverlap	chr17	46732843	46732884	-	7.56594285714	14	0.9692	3.63682857143	3.92911428571	NA	0.175886984058	0.51401618413
793	chr17:44219630-44220031+	NoOverlap	chr17	44219630	44220031	+	1.39852537313	134	0.418	0.992071641791	0.406453731343	NA	0.175772801033	0.744221231578
794	chr17:49362088-49362189+	NoOverlap	chr17	49362088	49362189	+	3.92265882353	34	0.3525	1.29845588235	2.62420294118	NA	0.175770018165	0.594033173732
795	chr17:71828232-71828264-	NoOverlap	chr17	71828232	71828264	-	7.11386363636	11	0.9421	-10.1006090909	17.2144727273	NA	0.17547890164	1.04396055567
796	chr17:28951087-28951203-	NoOverlap	chr17	28951087	28951203	-	0.848261538462	39	0.8654	-0.808943589744	1.65720512821	NA	0.175278443972	0.579937083302
797	chr17:2071922-2071996-	NoOverlap	chr17	2071922	2071996	-	1.736476	25	1.0	1.297244	0.439232	NA	0.175188021665	0.421727117426
798	chr17:50565163-50565189+	NoOverlap	chr17	50565163	50565189	+	8.94968888889	9	0.9869	0.279211111111	8.67047777778	NA	0.174948250135	0.733123001885
799	chr17:68206230-68206283-	NoOverlap	chr17	68206230	68206283	-	4.79001666667	18	0.3211	0.6243	4.16571666667	NA	0.174648697985	0.576525365935
800	chr17:61443151-61443219+	NoOverlap	chr17	61443151	61443219	+	3.08925217391	23	0.9886	2.94799565217	0.141256521739	NA	0.174641360365	0.381958821999
801	chr17:79838626-79838748+	NoOverlap	chr17	79838626	79838748	+	0.295785365854	41	0.8871	0.182592682927	0.113192682927	NA	0.174577847698	0.504816932305
802	chr17:49013555-49013653-	NoOverlap	chr17	49013555	49013653	-	1.4364969697	33	0.9249	0.830596969697	0.6059	NA	0.174152214682	0.479850919441
803	chr17:57496089-57496121+	NoOverlap	chr17	57496089	57496121	+	9.89319090909	11	0.9706	6.29118181818	3.60200909091	NA	0.17390621426	0.450610228691
804	chr17:61381158-61381184-	NoOverlap	chr17	61381158	61381184	-	8.7349	9	0.998	1.68567777778	7.04922222222	NA	0.173813253518	0.645690810713
805	chr17:44066569-44066688+	NoOverlap	chr17	44066569	44066688	+	0.9055725	40	0.87	0.883735	0.0218375	NA	0.173794786855	0.489050858254
806	chr17:28041707-28041805+	NoOverlap	chr17	28041707	28041805	+	0.350463636364	33	0.9754	1.41442121212	-1.06395757576	NA	0.173515775938	0.394801318957
807	chr17:12789682-12789762+	NoOverlap	chr17	12789682	12789762	+	6.08738888889	27	0.8105	6.81914074074	-0.731751851852	NA	0.173247065588	0.327971029832
808	chr17:47896413-47896532-	NoOverlap	chr17	47896413	47896532	-	-0.105155	40	0.9131	-0.194125	0.08897	NA	0.172537247045	0.50114972644
809	chr17:57656158-57656205-	NoOverlap	chr17	57656158	57656205	-	4.37115625	16	0.9986	-0.84216875	5.213325	NA	0.172528144759	0.624651456398
810	chr17:21646634-21646759+	NoOverlap	chr17	21646634	21646759	+	4.64250238095	42	0.3813	-2.14787619048	6.79037857143	NA	0.172319240666	0.885899267483
811	chr17:82362960-82362986-	NoOverlap	chr17	82362960	82362986	-	18.4782555556	9	0.8322	13.4578222222	5.02043333333	NA	0.172222855034	0.444267865979
812	chr17:2401062-2401172-	NoOverlap	chr17	2401062	2401172	-	1.51537027027	37	0.8898	2.53607837838	-1.02070810811	NA	0.171973876123	0.40661549759
813	chr17:49362066-49362185-	NoOverlap	chr17	49362066	49362185	-	1.838255	40	0.3523	2.51018	-0.671925	NA	0.171822801131	0.439707965303
814	chr17:28950897-28951007-	NoOverlap	chr17	28950897	28951007	-	-1.22618108108	37	0.9588	-3.35567567568	2.12949459459	NA	0.171802712315	0.603310029377
815	chr17:29593366-29593578+	NoOverlap	chr17	29593366	29593578	+	0.664245070423	71	0.3687	0.624305633803	0.0399394366197	NA	0.171502134807	0.637119838496
816	chr17:31488016-31488072-	NoOverlap	chr17	31488016	31488072	-	8.08185263158	19	0.8237	2.09944210526	5.98241052632	NA	0.171137672193	0.677286375705
817	chr17:51259811-51259906+	NoOverlap	chr17	51259811	51259906	+	1.684040625	32	0.9078	-0.4859875	2.170028125	NA	0.171004905327	0.565111206828
818	chr17:29593383-29593580-	NoOverlap	chr17	29593383	29593580	-	0.760553030303	66	0.3688	0.481306060606	0.279246969697	NA	0.170898604042	0.630077302523
819	chr17:60677819-60677881-	NoOverlap	chr17	60677819	60677881	-	3.0493	21	0.9915	0.676495238095	2.3728047619	NA	0.170862338128	0.500153249708
820	chr17:73546318-73546344-	NoOverlap	chr17	73546318	73546344	-	11.7281555556	9	0.9215	-0.8324	12.5605555556	NA	0.170647972648	0.895728744788
821	chr17:77451460-77451531+	NoOverlap	chr17	77451460	77451531	+	5.65990416667	24	0.8192	0.1944125	5.46549166667	NA	0.170462367522	0.696129885379
822	chr17:51186105-51186161+	NoOverlap	chr17	51186105	51186161	+	3.69913684211	19	0.9976	1.31837368421	2.38076315789	NA	0.170405278979	0.483392792215
823	chr17:64661909-64662178-	NoOverlap	chr17	64661909	64662178	-	1.18056333333	90	0.3732	0.714187777778	0.466375555556	NA	0.170379146794	0.710696408214
824	chr17:28911144-28911227-	NoOverlap	chr17	28911144	28911227	-	0.473375	28	1.0	-0.0364178571429	0.509792857143	NA	0.16956588198	0.452754588265
825	chr17:2192024-2192083-	NoOverlap	chr17	2192024	2192083	-	2.995095	20	0.9993	0.206765	2.78833	NA	0.169545721785	0.518225309466
826	chr17:36698329-36698406-	NoOverlap	chr17	36698329	36698406	-	1.52220769231	26	1.0	2.12992307692	-0.607715384615	NA	0.169269267444	0.370757225761
827	chr17:48148500-48148571+	NoOverlap	chr17	48148500	48148571	+	2.1965875	24	0.9979	2.26514583333	-0.0685583333333	NA	0.168574282681	0.383518345624
828	chr17:40108377-40108409+	NoOverlap	chr17	40108377	40108409	+	9.29937272727	11	0.9688	4.28941818182	5.00995454545	NA	0.168497238023	0.540412938216
829	chr17:8120987-8121013+	NoOverlap	chr17	8120987	8121013	+	9.70865555556	9	1.0	6.1486	3.56005555556	NA	0.168440247363	0.432282363396
830	chr17:8222254-8222310+	NoOverlap	chr17	8222254	8222310	+	2.30607894737	19	0.9948	-4.74671052632	7.05278947368	NA	0.168113159832	0.751087776545
831	chr17:5181613-5181744-	NoOverlap	chr17	5181613	5181744	-	5.28633636364	44	0.3938	-1.67005909091	6.95639545455	NA	0.168026105928	0.902832179872
832	chr17:1455597-1455680+	NoOverlap	chr17	1455597	1455680	+	1.56788928571	28	0.9436	-1.98235	3.55023928571	NA	0.167458531351	0.621568716524
833	chr17:58344581-58344607-	NoOverlap	chr17	58344581	58344607	-	8.4754	9	0.9927	0.374777777778	8.10062222222	NA	0.167244994796	0.705811195106
834	chr17:62065739-62065783-	NoOverlap	chr17	62065739	62065783	-	6.78590666667	15	0.9474	0.21698	6.56892666667	NA	0.167235668502	0.684408885844
835	chr17:39621951-39622016-	NoOverlap	chr17	39621951	39622016	-	2.22969090909	22	0.9841	-2.08730909091	4.317	NA	0.167128432544	0.62369662369
836	chr17:5046319-5046345+	NoOverlap	chr17	5046319	5046345	+	6.04326666667	9	0.3063	-0.340733333333	6.384	NA	0.166952424785	0.625917225039
837	chr17:35824102-35824182+	NoOverlap	chr17	35824102	35824182	+	0.637311111111	27	0.9993	-0.34032962963	0.977640740741	NA	0.166679379567	0.471896147583
838	chr17:64778809-64778841-	Extension	chr17	64778809	64778841	-	4.04651818182	11	0.3047	-0.780409090909	4.82692727273	chr17:64778809-64778922-	0.166482857865	0.565383036222
839	chr17:67825624-67825680+	NoOverlap	chr17	67825624	67825680	+	4.39547368421	19	0.3259	3.3978	0.997673684211	NA	0.166355240356	0.396964418913
840	chr17:66302689-66302814+	NoOverlap	chr17	66302689	66302814	+	2.49665714286	42	0.3634	1.3858547619	1.11080238095	NA	0.166236506166	0.553217580376
841	chr17:29593349-29593453-	NoOverlap	chr17	29593349	29593453	-	1.35591428571	35	0.3483	1.11151714286	0.244397142857	NA	0.166231189654	0.470636718528
842	chr17:28951390-28951521-	NoOverlap	chr17	28951390	28951521	-	-0.00264090909091	44	0.8417	-1.26869090909	1.26605	NA	0.166071111317	0.589248805898
843	chr17:7548991-7549032+	NoOverlap	chr17	7548991	7549032	+	9.20829285714	14	0.8609	-2.68296428571	11.8912571429	NA	0.164670308225	0.929157879609
844	chr17:44758904-44758936-	NoOverlap	chr17	44758904	44758936	-	10.9680272727	11	0.3348	5.96856363636	4.99946363636	NA	0.164411187578	0.526026297112
845	chr17:32486858-32486932-	NoOverlap	chr17	32486858	32486932	-	4.80466	25	0.348	0.881904	3.922756	NA	0.164392048864	0.612546098
846	chr17:12193526-12193558+	NoOverlap	chr17	12193526	12193558	+	6.8535	11	0.9667	-5.48291818182	12.3364181818	NA	0.164118217525	0.925625540714
847	chr17:36993122-36993175+	NoOverlap	chr17	36993122	36993175	+	3.77565	18	0.9961	0.3925	3.38315	NA	0.164091766045	0.53523972729
848	chr17:36936738-36936818+	NoOverlap	chr17	36936738	36936818	+	1.96192592593	27	0.9256	-3.15090740741	5.11283333333	NA	0.163968948098	0.703812509758
849	chr17:40312514-40312567+	NoOverlap	chr17	40312514	40312567	+	3.96806111111	18	0.9953	1.09890555556	2.86915555556	NA	0.163840081084	0.503796334871
850	chr17:63741843-63741875+	NoOverlap	chr17	63741843	63741875	+	8.99508181818	11	0.9122	-5.89649090909	14.8915727273	NA	0.161942067943	1.00168459919
851	chr17:56617398-56617448-	NoOverlap	chr17	56617398	56617448	-	3.47481764706	17	0.9616	-7.49658823529	10.9714058824	NA	0.161861065221	0.917603107372
852	chr17:7845010-7845036+	NoOverlap	chr17	7845010	7845036	+	13.9742222222	9	0.9002	6.258	7.71622222222	NA	0.161831454537	0.638508030532
853	chr17:49362068-49362172+	NoOverlap	chr17	49362068	49362172	+	2.13186285714	35	0.3542	1.89918571429	0.232677142857	NA	0.16166678887	0.463631565962
854	chr17:7843089-7843136+	NoOverlap	chr17	7843089	7843136	+	5.2736125	16	0.9624	-1.536975	6.8105875	NA	0.161518550748	0.712332633927
855	chr17:78106405-78106470-	NoOverlap	chr17	78106405	78106470	-	2.50450909091	22	0.942	-5.89260454545	8.39711363636	NA	0.161425537416	0.840851115036
856	chr17:29293766-29293846+	NoOverlap	chr17	29293766	29293846	+	2.46245925926	27	0.9296	-0.212611111111	2.67507037037	NA	0.161239345942	0.560321352535
857	chr17:58005446-58005568-	NoOverlap	chr17	58005446	58005568	-	-1.6547804878	41	0.9524	-1.4381195122	-0.21666097561	NA	0.161117487815	0.501904139647
858	chr17:72004726-72004758-	NoOverlap	chr17	72004726	72004758	-	8.66895454545	11	0.9703	2.81336363636	5.85559090909	NA	0.161063003229	0.595719307
859	chr17:32486941-32487018+	NoOverlap	chr17	32486941	32487018	+	1.72135384615	26	0.3403	-1.34772692308	3.06908076923	NA	0.161030439975	0.580124458506
860	chr17:64778939-64779067-	Extension	chr17	64778939	64779067	-	6.23898604651	43	0.3983	1.9998372093	4.23914883721	chr17:64778927-64779067-	0.160869745815	0.735597608426
861	chr17:44199509-44199838-	NoOverlap	chr17	44199509	44199838	-	1.69087090909	110	0.3928	1.17060727273	0.520263636364	NA	0.160388131007	0.743540114053
862	chr17:18065363-18065398+	NoOverlap	chr17	18065363	18065398	+	6.80306666667	12	0.9498	-5.72241666667	12.5254833333	NA	0.160238420839	0.941085411108
863	chr17:46644284-46644310+	NoOverlap	chr17	46644284	46644310	+	7.40811111111	9	0.9945	-2.66223333333	10.0703444444	NA	0.160228398942	0.811313720349
864	chr17:7404849-7404977-	NoOverlap	chr17	7404849	7404977	-	1.18805813953	43	0.7751	-0.250423255814	1.43848139535	NA	0.160134112087	0.587170330935
865	chr17:44199540-44199917-	NoOverlap	chr17	44199540	44199917	-	1.05648492063	126	0.4224	1.32154206349	-0.265057142857	NA	0.159908341667	0.728857416085
866	chr17:16822612-16822638+	NoOverlap	chr17	16822612	16822638	+	8.50085555556	9	0.9434	-8.35686666667	16.8577222222	NA	0.159723237195	1.02680028635
867	chr17:7394015-7394041+	NoOverlap	chr17	7394015	7394041	+	8.0518	9	0.9798	-2.9537	11.0055	NA	0.159681770308	0.851206140815
868	chr17:47861183-47861251+	NoOverlap	chr17	47861183	47861251	+	1.99031304348	23	0.9775	-1.96956956522	3.9598826087	NA	0.159658804238	0.610748932833
869	chr17:39612692-39612784+	NoOverlap	chr17	39612692	39612784	+	1.22566129032	31	0.9542	1.89225483871	-0.666593548387	NA	0.159638442357	0.39731761258
870	chr17:17850968-17851003+	NoOverlap	chr17	17850968	17851003	+	8.855625	12	0.8901	-6.55731666667	15.4129416667	NA	0.159462335138	1.02206319435
871	chr17:57674529-57674594+	NoOverlap	chr17	57674529	57674594	+	1.86072727273	22	0.9994	-0.840481818182	2.70120909091	NA	0.15942126082	0.532133224484
872	chr17:46772481-46772507+	NoOverlap	chr17	46772481	46772507	+	9.1883	9	0.9727	0.184044444444	9.00425555556	NA	0.159270436868	0.749003465336
873	chr17:44198037-44198132-	NoOverlap	chr17	44198037	44198132	-	-0.531165625	32	0.9852	-1.056065625	0.5249	NA	0.159164805955	0.483667740024
874	chr17:73839303-73839335+	NoOverlap	chr17	73839303	73839335	+	7.24536363636	11	0.9677	-3.18280909091	10.4281727273	NA	0.159011184907	0.846891957769
875	chr17:7717272-7717298-	NoOverlap	chr17	7717272	7717298	-	7.72602222222	9	0.954	-9.15753333333	16.8835555556	NA	0.158663073394	1.02651809725
876	chr17:75393832-75393861-	NoOverlap	chr17	75393832	75393861	-	9.16707	10	0.9582	0.37418	8.79289	NA	0.158414197123	0.747854297131
877	chr17:51068001-51068051-	NoOverlap	chr17	51068001	51068051	-	4.66974117647	17	0.9985	3.35412352941	1.31561764706	NA	0.158191774112	0.400747787647
878	chr17:71931380-71931406-	NoOverlap	chr17	71931380	71931406	-	9.99635555556	9	0.9943	7.21733333333	2.77902222222	NA	0.158133300594	0.383572220061
879	chr17:48311087-48311158-	NoOverlap	chr17	48311087	48311158	-	0.411608333333	24	1.0	-4.14650416667	4.5581125	NA	0.157926111229	0.652789576213
880	chr17:49361911-49362222-	NoOverlap	chr17	49361911	49362222	-	0.975059615385	104	0.3876	0.159125	0.815934615385	NA	0.157779486214	0.74856896997
881	chr17:57256324-57256701+	NoOverlap	chr17	57256324	57256701	+	1.07866587302	126	0.4457	0.54901984127	0.529646031746	NA	0.157546322259	0.748374946125
882	chr17:81871061-81871102+	NoOverlap	chr17	81871061	81871102	+	5.37427142857	14	0.3234	3.55289285714	1.82137857143	NA	0.157516585576	0.404871771692
883	chr17:8226610-8226687+	NoOverlap	chr17	8226610	8226687	+	0.813830769231	26	1.0	0.152984615385	0.660846153846	NA	0.157081991788	0.447110383249
884	chr17:59565660-59565707-	NoOverlap	chr17	59565660	59565707	-	4.416175	16	0.9882	-0.8798875	5.2960625	NA	0.156906168617	0.629247169728
885	chr17:30731444-30731563+	NoOverlap	chr17	30731444	30731563	+	-0.3366825	40	0.8598	-4.2671925	3.93051	NA	0.156558262266	0.717488837292
886	chr17:6556625-6556693+	NoOverlap	chr17	6556625	6556693	+	3.37711304348	23	0.3403	2.71201304348	0.6651	NA	0.156133916957	0.409895156811
887	chr17:6497105-6497158-	NoOverlap	chr17	6497105	6497158	-	4.33651666667	18	0.9869	2.10147222222	2.23504444444	NA	0.156046282796	0.46384319764
888	chr17:38747898-38747936-	NoOverlap	chr17	38747898	38747936	-	9.35272307692	13	0.9116	2.79725384615	6.55546923077	NA	0.155689572509	0.650423681471
889	chr17:51185961-51185987-	NoOverlap	chr17	51185961	51185987	-	10.0211333333	9	0.958	1.13048888889	8.89064444444	NA	0.155617425592	0.737150000804
890	chr17:51209332-51209394+	NoOverlap	chr17	51209332	51209394	+	1.26278571429	21	0.9843	-6.63126666667	7.89405238095	NA	0.155470830198	0.804204192616
891	chr17:7841833-7841865-	NoOverlap	chr17	7841833	7841865	-	9.85379090909	11	0.9519	5.18961818182	4.66417272727	NA	0.155298245751	0.515056292315
892	chr17:2711687-2711779-	NoOverlap	chr17	2711687	2711779	-	1.82755806452	31	0.8942	-0.863374193548	2.69093225806	NA	0.155290755566	0.589339050096
893	chr17:36978977-36979036-	NoOverlap	chr17	36978977	36979036	-	2.69895	20	1.0	0.312885	2.386065	NA	0.155262028928	0.496428673108
894	chr17:44219631-44219999+	NoOverlap	chr17	44219631	44219999	+	0.745011382114	123	0.4193	0.758985365854	-0.0139739837398	NA	0.155205659945	0.733618665783
895	chr17:76737950-76737988-	NoOverlap	chr17	76737950	76737988	-	9.13781538462	13	0.8539	-6.55464615385	15.6924615385	NA	0.155144216026	1.03500990079
896	chr17:44219631-44219993-	NoOverlap	chr17	44219631	44219993	-	1.16183636364	121	0.4184	1.08351900826	0.0783173553719	NA	0.154817878426	0.736941398283
897	chr17:48593829-48593894-	NoOverlap	chr17	48593829	48593894	-	2.20391818182	22	0.9967	0.640131818182	1.56378636364	NA	0.154791980535	0.464679365391
898	chr17:47649923-47649973-	NoOverlap	chr17	47649923	47649973	-	6.93661176471	17	0.8895	-0.571923529412	7.50853529412	NA	0.15462834644	0.753874237479
899	chr17:57256323-57256700-	NoOverlap	chr17	57256323	57256700	-	0.774216666667	126	0.4459	1.06910873016	-0.294892063492	NA	0.154494612329	0.726988513201
900	chr17:28884229-28884321-	NoOverlap	chr17	28884229	28884321	-	-1.0051	31	1.0	-1.79930967742	0.794209677419	NA	0.154421359284	0.495595289657
901	chr17:40443721-40443789-	NoOverlap	chr17	40443721	40443789	-	4.78836956522	23	0.835	-3.32238695652	8.11075652174	NA	0.15412961516	0.838365961734
902	chr17:36907646-36907699-	NoOverlap	chr17	36907646	36907699	-	2.62623888889	18	1.0	-2.93104444444	5.55728333333	NA	0.153925445845	0.663760115039
903	chr17:34776710-34776748+	NoOverlap	chr17	34776710	34776748	+	5.81440769231	13	0.9991	1.27857692308	4.53583076923	NA	0.153848842651	0.554228119962
904	chr17:7023067-7023093-	NoOverlap	chr17	7023067	7023093	-	8.47183333333	9	0.9778	-1.03942222222	9.51125555556	NA	0.153543488448	0.779213499463
905	chr17:81399560-81399700-	NoOverlap	chr17	81399560	81399700	-	3.43665106383	47	0.3848	1.61923404255	1.81741702128	NA	0.153515159753	0.616841226963
906	chr17:67928958-67929014+	NoOverlap	chr17	67928958	67929014	+	3.76318421053	19	0.9792	0.437526315789	3.32565789474	NA	0.153398206255	0.538952984148
907	chr17:7889223-7889297-	NoOverlap	chr17	7889223	7889297	-	0.796692	25	0.9995	-0.90506	1.701752	NA	0.153354219107	0.499610356142
908	chr17:44219632-44219994+	NoOverlap	chr17	44219632	44219994	+	0.982624793388	121	0.4197	1.03363801653	-0.0510132231405	NA	0.153274362173	0.732955035272
909	chr17:40350569-40350640-	NoOverlap	chr17	40350569	40350640	-	1.72212916667	24	0.9927	0.864225	0.857904166667	NA	0.153125089089	0.439768970077
910	chr17:31596832-31596858-	NoOverlap	chr17	31596832	31596858	-	7.90135555556	9	0.9911	-0.6769	8.57825555556	NA	0.153056604714	0.734768940482
911	chr17:47821891-47821920+	NoOverlap	chr17	47821891	47821920	+	6.95057	10	0.9974	-0.79365	7.74422	NA	0.153037585	0.704816953667
912	chr17:45148583-45148633+	NoOverlap	chr17	45148583	45148633	+	3.87393529412	17	0.9525	-6.30082352941	10.1747588235	NA	0.152987720703	0.887048663449
913	chr17:36978993-36979067-	NoOverlap	chr17	36978993	36979067	-	-0.14224	25	1.0	-4.789452	4.647212	NA	0.152544918448	0.663893398245
914	chr17:7710525-7710554-	NoOverlap	chr17	7710525	7710554	-	6.46763	10	0.968	-8.06633	14.53396	NA	0.152427322065	0.984869730757
915	chr17:10198906-10198971+	NoOverlap	chr17	10198906	10198971	+	5.85658181818	22	0.8287	-0.0130636363636	5.86964545455	NA	0.152284754227	0.704416001974
916	chr17:48054265-48054339+	NoOverlap	chr17	48054265	48054339	+	1.506516	25	0.9802	-0.37722	1.883736	NA	0.15219968211	0.506000244043
917	chr17:36979106-36979189+	NoOverlap	chr17	36979106	36979189	+	0.0598285714286	28	1.0	-0.298303571429	0.358132142857	NA	0.152160956242	0.447532121406
918	chr17:37830330-37830365-	NoOverlap	chr17	37830330	37830365	-	4.0216	12	0.9998	-7.588575	11.610175	NA	0.152057846493	0.903208882432
919	chr17:60525933-60526028+	Extension	chr17	60525933	60526028	+	1.908034375	32	0.9038	1.8598625	0.048171875	chr17:60525804-60526028+	0.151843370696	0.437681578524
920	chr17:38605576-38605905-	NoOverlap	chr17	38605576	38605905	-	1.06350909091	110	0.5411	0.0227118181818	1.04079727273	NA	0.151661620953	0.760804309077
921	chr17:28041933-28042013-	NoOverlap	chr17	28041933	28042013	-	1.85931851852	27	0.9172	-3.40651851852	5.26583703704	NA	0.151281831928	0.712375438337
922	chr17:7887561-7887605+	NoOverlap	chr17	7887561	7887605	+	5.30898	15	0.9897	1.79364	3.51534	NA	0.150873811686	0.512324011838
923	chr17:59106463-59106492+	Extension	chr17	59106463	59106492	+	7.16743	10	0.9981	0.40879	6.75864	chr17:59106436-59106492+	0.150745595898	0.649164389051
924	chr17:30731756-30731884-	Extension	chr17	30731756	30731884	-	0.366111627907	43	0.8167	-0.55173255814	0.917844186047	chr17:30731756-30732106-	0.150151548259	0.561619873636
925	chr17:35522773-35522799-	NoOverlap	chr17	35522773	35522799	-	23.8690555556	9	0.8705	-17.4355777778	41.3046333333	NA	0.150129606736	0.90063204967
926	chr17:50835261-50835293-	NoOverlap	chr17	50835261	50835293	-	7.92652727273	11	0.9801	2.61738181818	5.30914545455	NA	0.149962976126	0.568924409034
927	chr17:7214690-7214767-	NoOverlap	chr17	7214690	7214767	-	-0.462076923077	26	0.9851	-6.77451538462	6.31243846154	NA	0.149864823115	0.754447382184
928	chr17:75393630-75393692+	Extension	chr17	75393630	75393692	+	2.16468571429	21	0.9978	-0.344523809524	2.50920952381	chr17:75393558-75393692+	0.149816318532	0.513049967302
929	chr17:57955239-57955274+	NoOverlap	chr17	57955239	57955274	+	4.45478333333	12	0.3216	2.46790833333	1.986875	NA	0.149599903273	0.40872088337
930	chr17:44219630-44219977-	NoOverlap	chr17	44219630	44219977	-	1.08702327586	116	0.415	0.912651724138	0.174371551724	NA	0.149476175325	0.737237682127
931	chr17:47872555-47872644-	NoOverlap	chr17	47872555	47872644	-	0.0906966666667	30	0.9833	0.125046666667	-0.03435	NA	0.14922925034	0.437066755516
932	chr17:51260148-51260180-	NoOverlap	chr17	51260148	51260180	-	8.36922727273	11	0.9505	-0.4585	8.82772727273	NA	0.149171120786	0.764084878598
933	chr17:40835959-40836006-	NoOverlap	chr17	40835959	40836006	-	13.801825	16	0.6043	-2.73831875	16.54014375	NA	0.14914444092	1.05489123833
934	chr17:58328670-58328699-	NoOverlap	chr17	58328670	58328699	-	8.28815	10	0.9849	2.56729	5.72086	NA	0.149064253818	0.58159123825
935	chr17:67244882-67245010-	NoOverlap	chr17	67244882	67245010	-	1.79735116279	43	0.7258	0.339653488372	1.45769767442	NA	0.148717533214	0.584598640959
936	chr17:36695170-36695256+	NoOverlap	chr17	36695170	36695256	+	-1.18247586207	29	0.9998	-4.22612068966	3.04364482759	NA	0.148271575228	0.604519950545
937	chr17:46771561-46771761-	NoOverlap	chr17	46771561	46771761	-	1.51640149254	67	0.3893	1.2397641791	0.276637313433	NA	0.148242447104	0.627075830765
938	chr17:62064988-62065083-	NoOverlap	chr17	62064988	62065083	-	5.43456875	32	0.6368	-1.897475	7.33204375	NA	0.148105271162	0.859189734687
939	chr17:46172104-46172175+	NoOverlap	chr17	46172104	46172175	+	0.424308333333	24	0.9998	-3.2723875	3.69669583333	NA	0.148067517372	0.605887728545
940	chr17:76735586-76735615-	NoOverlap	chr17	76735586	76735615	-	9.79506	10	0.9768	7.08379	2.71127	NA	0.147763616866	0.389764515134
941	chr17:8140550-8140606+	NoOverlap	chr17	8140550	8140606	+	3.01858947368	19	0.9992	0.720210526316	2.29837894737	NA	0.147578510712	0.482861445091
942	chr17:49230759-49230794+	NoOverlap	chr17	49230759	49230794	+	11.2092083333	12	0.9019	7.74261666667	3.46659166667	NA	0.147422951331	0.440556481425
943	chr17:47896175-47896210-	NoOverlap	chr17	47896175	47896210	-	5.32819166667	12	1.0	-1.901925	7.23011666667	NA	0.147254593998	0.701485894945
944	chr17:82017138-82017164+	NoOverlap	chr17	82017138	82017164	+	5.44387777778	9	0.3181	3.52114444444	1.92273333333	NA	0.146751478463	0.376781643434
945	chr17:7909134-7909163-	NoOverlap	chr17	7909134	7909163	-	7.73214	10	0.9442	-6.69403	14.42617	NA	0.146190459102	0.982869312972
946	chr17:62065918-62065989+	NoOverlap	chr17	62065918	62065989	+	2.54344583333	24	0.9633	1.20751666667	1.33592916667	NA	0.145911173411	0.461462927812
947	chr17:4365252-4365314+	NoOverlap	chr17	4365252	4365314	+	3.42161428571	21	0.9592	0.130638095238	3.29097619048	NA	0.145719603933	0.552543478251
948	chr17:58755796-58755864+	NoOverlap	chr17	58755796	58755864	+	3.90880869565	23	0.919	0.835430434783	3.07337826087	NA	0.145679661674	0.550819905512
949	chr17:61381307-61381336-	NoOverlap	chr17	61381307	61381336	-	6.7126	10	0.9872	-2.85284	9.56544	NA	0.145340381097	0.799046990524
950	chr17:7707601-7707711+	NoOverlap	chr17	7707601	7707711	+	-2.16822162162	37	0.9858	-1.95086756757	-0.217354054054	NA	0.145228160205	0.483942324365
951	chr17:74081306-74081335+	NoOverlap	chr17	74081306	74081335	+	7.31098	10	0.96	-5.42069	12.73167	NA	0.145184418857	0.930500694138
952	chr17:2233667-2233702+	NoOverlap	chr17	2233667	2233702	+	5.76645833333	12	0.9993	-0.0657666666667	5.832225	NA	0.145169852668	0.621737617716
953	chr17:44198984-44199073-	NoOverlap	chr17	44198984	44199073	-	2.05386333333	30	0.8788	-1.44084333333	3.49470666667	NA	0.14514281272	0.629955917368
954	chr17:32361461-32361538-	NoOverlap	chr17	32361461	32361538	-	0.243665384615	26	1.0	-1.22982692308	1.47349230769	NA	0.144825447724	0.496030836846
955	chr17:79860571-79860600+	NoOverlap	chr17	79860571	79860600	+	8.80189	10	0.3499	0.02771	8.77418	NA	0.144786060365	0.749210931188
